MET,Alt_CG_Geod_CM (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_LAS (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Alt_CG_Geod_Booster (ft),Latitude_CG_Geod (radians),Longitude_CG_Geod (radians),Quat1_s (CM),Quat1_v0 (CM),Quat1_v1 (CM),Quat1_v2 (CM),Quat1_s (LAS),Quat1_v0 (LAS),Quat1_v1 (LAS),Quat1_v2 (LAS),Quat1_s (Booster),Quat1_v0 (Booster),Quat1_v1 (Booster),Quat1_v2 (Booster),Engine Flag,reserved
1.4,-45.551815,0.49669454,-1.4054857,-45.551815,0.49669454,-1.4054851,-45.551815,0.49669454,-1.4054849,0.447520465,0.54849994,0.44524217,-0.54829979,0.447520465,0.54849994,0.44524217,-0.54829979,0.447520465,0.54849994,0.44524217,-0.54829979,0,0
1.425,-45.552742,0.49669454,-1.4054857,-45.552742,0.49669454,-1.4054851,-45.552742,0.49669454,-1.4054849,0.44750107,0.54851145,0.4452869,-0.54826778,0.44750107,0.54851145,0.4452869,-0.54826778,0.44750107,0.54851145,0.4452869,-0.54826778,0,0
1.45,-45.553707,0.49669454,-1.4054857,-45.553707,0.49669454,-1.4054851,-45.553707,0.49669454,-1.4054849,0.447477226,0.54852784,0.44532773,-0.54823768,0.447477226,0.54852784,0.44532773,-0.54823768,0.447477226,0.54852784,0.44532773,-0.54823768,0,0
1.475,-45.554741,0.49669454,-1.4054857,-45.554741,0.49669454,-1.4054851,-45.554741,0.49669454,-1.4054849,0.44745958,0.54854423,0.44537061,-0.54820085,0.44745958,0.54854423,0.44537061,-0.54820085,0.44745958,0.54854423,0.44537061,-0.54820085,0,0
1.5,-45.555775,0.49669454,-1.4054857,-45.555775,0.49669454,-1.4054851,-45.555775,0.49669454,-1.4054849,0.447432692,0.54856384,0.44541779,-0.54816484,0.447432692,0.54856384,0.44541779,-0.54816484,0.447432692,0.54856384,0.44541779,-0.54816484,0,0
1.525,-45.556759,0.49669454,-1.4054857,-45.556759,0.49669454,-1.4054851,-45.556759,0.49669454,-1.4054849,0.44740335,0.54858094,0.44545767,-0.54813927,0.44740335,0.54858094,0.44545767,-0.54813927,0.44740335,0.54858094,0.44545767,-0.54813927,0,0
1.55,-45.557846,0.49669454,-1.4054857,-45.557846,0.49669454,-1.4054851,-45.557846,0.49669454,-1.4054849,0.447382353,0.54860342,0.4455137,-0.54808837,0.447382353,0.54860342,0.4455137,-0.54808837,0.447382353,0.54860342,0.4455137,-0.54808837,0,0
1.575,-45.558884,0.49669454,-1.4054857,-45.558884,0.49669454,-1.4054851,-45.558884,0.49669454,-1.4054849,0.4473587,0.54862422,0.44555938,-0.54804975,0.4473587,0.54862422,0.44555938,-0.54804975,0.4473587,0.54862422,0.44555938,-0.54804975,0,0
1.6,-45.55986,0.49669454,-1.4054857,-45.55986,0.49669454,-1.4054851,-45.55986,0.49669454,-1.4054849,0.447325044,0.54864496,0.44561335,-0.54801255,0.447325044,0.54864496,0.44561335,-0.54801255,0.447325044,0.54864496,0.44561335,-0.54801255,0,0
1.625,-45.560909,0.49669454,-1.4054857,-45.560909,0.49669454,-1.4054851,-45.560909,0.49669454,-1.4054849,0.447299814,0.54866457,0.44566876,-0.54796845,0.447299814,0.54866457,0.44566876,-0.54796845,0.447299814,0.54866457,0.44566876,-0.54796845,0,0
